Years,County,radiation_spr,radiation_sum,meantemp_spr,meantemp_sum,maxtemp_spr,maxtemp_sum,mintemp_spr,mintemp_sum,humidity_spr,humidity_sum,windspeed_spr,windspeed_sum,precipitation_spr,precipitation_sum,Porumb boabe,Cartofi - total,Floarea soarelui,Soia boabe
1990,Satu Mare,0.663269267,0.322408288,1.052036892,0.395002916,0.936920915,0.431952401,1.013694845,0.503377154,0.55606903,0.448456088,-0.297186809,-0.278742523,-0.695168812,0.559744803,0.271836788,0.29446891,-1.498101723,-0.441982864
1990,Buzau,0.539208572,-0.095087739,-1.384364963,-1.187175972,-1.147062616,-1.016143513,-1.714578979,-1.218639271,0.664218049,0.958502377,0.948195028,0.99425943,0.610818989,2.268797909,0.094128131,-0.368642623,-0.358542546,0.143524252
1990,Harghita,-0.273473255,0.564043705,0.801136875,0.962827618,0.314236756,0.743709452,1.022018834,1.055611584,0.561420071,0.376512439,-0.267299316,-0.580255005,0.288100316,0.442075884,-0.543995534,-0.102604324,-0.44604317,
1990,Suceava,-0.743443281,0.133813611,1.553452809,1.369344008,1.308511284,1.259493348,1.580835503,1.444466392,-0.107065862,0.367211632,1.098119599,-0.074066195,1.250756724,-0.130629234,-1.577165186,-1.497755652,-0.970531253,-1.86997133
1990,Salaj,0.356403852,0.246498829,-0.093257496,0.58814251,-0.139344938,0.356994012,0.118273158,0.765468363,0.568294095,0.626382774,0.839906025,0.217309858,-0.49913374,-0.487787609,-0.234822955,0.564185603,-1.278804754,
1990,Vaslui,0.735382524,0.703991895,1.559542493,0.612446263,1.47994098,0.560963146,1.047314375,0.090096961,0.295353004,-0.194480136,-0.323000883,-0.802425885,-0.498495672,-1.506791603,-0.925203293,-1.66066005,-1.274011614,
1990,Caras-Severin,-3.116822967,-3.655301845,0.535138097,-0.10446054,0.805578606,0.05170378,0.008832705,-0.028069549,-0.107890772,0.310257164,0.495901065,0.141582134,-0.438469773,2.130818989,0.621095494,-1.491352928,1.152870016,1.479438963
1990,Giurgiu,0.061839217,0.182007931,-0.737639548,-0.205789734,-0.456569094,0.116341606,-0.940757946,-0.716119681,0.410116585,0.348558953,-0.408920485,-1.022337914,0.988060701,-0.572784186,1.928099527,0.046214942,1.223489901,0.621741428
1990,Bacau,0.41966964,0.497897504,0.053023347,0.430653896,0.125608643,0.334438807,-0.081291202,0.471632463,0.815524499,0.611843903,-0.405985595,-0.277558713,0.207240269,0.252710611,-0.57492211,-0.188337219,-0.764462352,
1990,Vrancea,0.193389698,0.143585287,-2.053838553,-1.168113859,-1.83365299,-1.074637628,-2.096675229,-1.391385729,0.678983473,0.707182158,-0.243335841,0.473099009,-0.346216251,0.131860515,,,,
1990,Arges,1.256800747,0.991485767,1.116370337,0.790134837,1.19954687,0.825353244,0.794558706,0.303782152,0.312133941,-0.335286545,0.857549568,1.289643421,-1.308245046,-1.417156033,-0.294871923,0.084731537,,
1990,Valcea,-0.152232668,-0.149654238,0.685535643,-0.6664348,0.822793124,-0.344159761,0.626538986,-0.858683105,0.45092371,0.635356985,-0.701128145,-0.131022731,0.352283139,0.956370828,2.507936746,-0.864106375,1.788347931,1.769243517
1990,Brasov,1.167167318,0.717609187,0.969652812,0.795512268,1.121554884,0.91581821,0.516310202,0.468768138,0.23068944,-0.072156062,0.402357897,0.855001002,-0.123554441,0.016606622,0.505824751,0.587880402,0.301030178,0.472434623
1990,Tulcea,0.908948662,0.553047075,0.860952232,1.040104392,1.012000298,1.039951741,0.505265171,0.838590327,0.714039872,0.534915444,0.914409245,1.402350582,-0.894254844,-0.338852525,-0.228140032,-0.096042817,-0.873159846,
1990,Dolj,0.373095379,-0.411282987,-1.871932189,-1.218406195,-1.549965559,-1.269638888,-2.077399405,-1.008667453,0.753447274,1.063138359,1.470543261,-0.271268426,0.171680782,2.159909327,-0.417361684,-0.100907147,-0.787677547,-0.192310549
1990,Arad,-0.007857675,0.202879422,-0.730453078,-0.398224563,-0.60461839,-0.309985727,-0.649094607,-0.336413331,0.48241972,0.416378738,-1.001247257,-1.498031293,0.526715338,0.984032148,-1.586664043,-1.007246351,-1.711763082,-1.720301189
1990,Botosani,-0.126401524,-0.304374431,1.669646476,1.413132206,1.420251644,1.258594808,1.808100607,1.418421583,0.050979141,0.130102021,0.012598775,0.291591197,1.781429625,-0.911496591,0.268435841,0.375023638,1.357682971,-0.18538612
1990,Covasna,0.08619325,0.207242657,0.111848065,-0.073450759,0.32980982,0.218634271,-0.14706993,-0.548269902,0.410908335,0.283240574,-0.546230599,-0.206230227,0.569761084,0.160368546,0.877505453,-0.239798968,0.828892858,0.82246768
1990,Braila,-1.13974186,-1.168118307,-0.577127767,-1.773196167,-1.403983181,-2.153189635,0.636577676,-1.069731637,-3.192048465,-3.139372249,-0.978680429,-1.015603422,-1.754721566,-0.914894909,2.735570511,0.525530794,1.847225958,2.576926189
1990,Calarasi,0.06306233,-0.25718986,1.201344345,-0.111304219,0.985729081,-0.132964749,1.380971482,0.191649921,0.156891525,0.455591256,-0.09829805,-0.321396848,0.76589932,1.409891332,0.180341886,0.726597869,,
1991,Ilfov,-0.04186959,-0.145598654,-1.009351065,-0.271403744,-0.69293425,-0.20414128,-1.150103453,-0.028911001,0.850951456,0.862995786,0.842578078,1.185751465,0.773012785,1.45599755,-0.422377289,0.32885314,0.268126871,-0.875510561
1991,Giurgiu,0.318283655,0.319022137,-1.857373506,-0.29079183,-1.615185993,-0.266513076,-1.75256618,-0.382748582,0.553775356,0.436519127,-0.587464711,-0.605447524,0.902293978,0.389855439,-0.511300339,0.179196293,,
1991,Mehedinti,-0.002421769,0.148870163,-1.380960137,-0.977229253,-1.19854524,-0.797653922,-1.351270355,-1.295596044,0.411183344,0.379353093,-2.535743622,-1.916982324,0.040263076,-0.4126098,,,,
1991,Teleorman,0.003230907,0.056322059,-0.110782496,0.078430563,-0.283432087,-0.18671582,0.14220623,0.377094946,-0.104984097,0.031070299,0.277604094,0.296143237,-0.553082162,-1.124435563,-1.456357256,-1.972932024,-1.447169956,-0.105650272
1991,Arad,0.067788715,0.055454395,-0.317171065,-0.551385111,-0.367646452,-0.386946653,-0.043738868,-0.553106342,0.519642896,0.41729626,-0.670444262,-0.333140766,0.098031442,0.317446023,-0.451381191,1.713426669,-0.511169924,-0.944410055
1991,Satu Mare,0.413853558,0.428173111,0.760315845,1.041019059,0.559761098,1.031436898,0.830499408,0.846801672,0.274972448,-0.070628935,0.111063168,-0.042489171,0.481350749,-1.044655892,1.738216168,0.143409124,0.851275642,0.671206869
1991,Alba,-0.263086114,0.343294745,0.085850201,0.358717101,-0.274926887,0.136957327,0.540278,0.65688456,0.403558401,0.398352862,1.217207871,-0.124224572,-0.137879949,0.158217411,0.028453563,0.09891183,-0.91857905,-0.020930934
1991,Botosani,0.38441486,0.023247365,0.539974866,1.774336289,0.803353816,1.587041693,-0.207416525,1.738643601,-2.538062791,-2.4986545,-0.108357621,0.094143332,-0.885342623,-1.025048081,-0.000993289,0.520308283,-0.097639633,-0.368114104
1991,Timis,0.453608805,0.148140893,-0.705419879,-0.927571814,-0.228530007,-0.52019345,-1.303105115,-1.395835679,0.610974791,0.745033602,-0.183428879,0.340682913,-0.86008864,0.483837309,1.613313719,0.89809168,1.452300732,1.614965389
1991,Gorj,0.04198457,-0.108324225,0.956724805,0.389630456,0.855196887,0.40153086,1.134806348,0.561127191,0.250459339,0.459050785,-0.742047365,-0.486916254,2.117899912,0.451617839,-0.018399146,-1.423247859,0.505047481,
1991,Ialomita,0.585666393,0.022172187,-0.774231425,-0.274038886,-0.573237141,-0.370190259,-1.016274588,-0.082215186,0.383224182,0.67408191,0.149921358,-0.979173531,0.962172988,0.3764597,-1.139702812,-0.166303705,-0.946053772,-1.251791177
1991,Hunedoara,-0.332669534,0.189426598,-0.784724408,-0.538370788,-1.227405126,-0.635988388,-0.004092812,-0.385311422,-0.12227478,-0.208979019,0.238364095,0.612144502,0.252385636,-1.119439527,0.298340181,-0.239845282,-0.153433524,0.356561612
1991,Bistrita-Nasaud,-0.224425624,-0.21800502,0.72558978,-0.670466836,0.865967213,-0.353182173,0.59579404,-0.927428011,0.520233417,0.596045805,-0.633255126,-0.289009837,0.505976133,1.033347735,-0.906561129,-0.896002141,-0.356145824,0.506513695
1991,Constanta,-2.909363406,-2.909520095,-2.210731643,-3.698367543,-3.134796798,-4.041379279,-0.538072576,-2.96705865,-3.853051131,-3.940904447,-2.552040629,-2.450508137,-1.406482376,-1.383589402,0.556548227,-0.438878916,0.378654342,1.446470953
1991,Olt,-2.593458633,-2.572449018,0.673116897,0.650627754,0.843838232,0.775735251,0.468649569,0.474444262,-0.501247864,-0.198663015,0.429564889,-0.407507847,0.497341799,0.249532911,-0.506476802,-2.332297768,-0.583853629,-0.191052548
1991,Tulcea,0.32171864,0.342903222,0.229882599,0.168005612,0.29681275,0.241277557,0.099499497,0.190669503,-0.29408206,0.396049242,1.11694031,0.865368761,0.130844708,0.60571382,3.844706869,0.736000423,1.506180563,0.184926594
1991,Brasov,0.289837292,0.392927352,0.526643551,0.255464327,0.611972308,0.324009062,0.44967021,0.219461113,-0.119821049,0.304305084,0.456071948,0.614699179,0.679119356,0.01455872,1.759770331,0.238825723,2.132182889,-0.114212072
1991,Maramures,0.600260609,0.483066619,0.81240776,0.155325301,0.417266249,-0.058220655,1.281499041,0.193287494,-0.312518838,-0.916643253,-0.254282344,0.462883134,-1.476010768,-2.001422964,-0.055516328,-0.048510963,,
1991,Sibiu,-4.575992394,-4.964051541,0.83162059,0.390904107,0.514820229,0.113060484,1.130982489,1.087586196,-2.824614809,-2.687193686,0.581970503,0.232370617,-1.330893307,-0.273995652,-1.17230483,-1.504530365,-0.411877717,-1.307269497
1991,Salaj,0.642123226,0.48034211,0.724551981,0.714060609,0.724475375,0.574381447,0.625752066,0.920462667,0.498923034,0.286762646,0.940434479,1.001933023,-0.191197369,-0.294670656,0.126729196,1.12029325,0.109791024,0.66776386
1991,Iasi,0.146811107,0.180521263,-1.101085439,-0.217658691,-1.05486663,-0.23858558,-0.874148526,-0.33486578,0.655012316,0.860499891,0.804008608,0.03166781,0.357327947,-0.181843128,-0.141417593,0.23073745,-0.398767863,-0.479418748
1991,Vaslui,0.381370056,0.924052063,-0.331684015,0.777866397,-0.517146264,0.642086443,-0.228537305,0.564111227,0.4086633,-0.228102132,0.126540831,0.551058643,-0.493222109,-1.550404161,-0.42261019,0.446974173,-1.394195768,-0.843206864
1991,Braila,-5.260831159,-5.426470797,-0.654567785,-1.378109818,-1.225383094,-1.715182744,0.370007966,-0.71407441,-3.818083919,-3.843741243,-0.832752659,-1.073517458,-1.928079175,-1.743960275,-1.109400858,-0.385780698,-1.127924328,-0.970705828
1991,Cluj,0.688295493,1.276183981,1.256103871,2.024147271,1.312059705,1.897693737,1.091560466,1.817839345,-0.121068178,-0.118187422,0.899249316,1.006617673,1.568380956,-1.480212254,1.872086281,0.603606194,3.077761956,1.224407125
1991,Vrancea,0.663183001,0.149440097,-0.123827074,-0.512118036,0.040062107,-0.568018852,-0.443660803,-0.169552365,0.508654171,0.81079752,1.362584058,1.461956009,-0.650501336,1.711539357,-0.423961373,0.379889424,-0.164145134,-0.363549295
1991,Harghita,0.320479678,0.425046453,1.211872349,0.430620619,0.980287468,0.510736264,1.453192619,0.271236195,0.430104142,0.008379725,-0.591106335,-0.840053217,0.114013711,-0.24011583,-0.736227311,-1.433125729,-1.055809752,0.113861247
1991,Buzau,0.208967284,0.230440323,-1.111976839,-0.475806686,-0.527592628,-0.200373235,-1.59187909,-0.846683145,0.183684322,0.318951653,0.743875904,1.083214698,-0.677294676,0.409960158,-0.027450423,-0.147621269,0.181236177,-0.483501006
1991,Galati,0.106177886,-0.410399733,-0.718413079,-1.346629392,-0.361061107,-1.081913166,-1.060227357,-1.377081259,0.518988509,0.714356339,-0.769475518,-0.84019749,0.160128356,1.394630795,-0.180540018,1.693370662,,
1991,Dambovita,0.381776791,0.391374225,0.614629303,0.540565499,0.442510594,0.397626012,0.720859486,0.775640827,0.686340594,0.526308845,-1.336355184,-0.915645151,0.364607409,0.132549906,-0.730776842,0.080481509,-0.466299222,
1991,Dolj,1.105763607,0.565552145,-1.040757702,-0.367317584,-0.634134275,-0.192313232,-1.495032885,-0.707096185,0.429030415,0.413131664,1.076351752,0.911562579,-1.820650301,-0.281343029,-1.661354994,-0.498474228,-1.363027093,-1.316655703
1991,Bacau,0.695389403,-0.000673127,-0.556540377,-0.597753431,-0.365529224,-0.565093165,-0.832604307,-0.502451783,0.608719007,0.853615759,1.24529513,0.943081917,0.712642692,2.642735919,0.101421227,0.494771813,-1.36623409,0.419808964
1991,Valcea,0.851309988,0.254137765,-0.498391329,-0.375139202,0.046903899,-0.345151773,-1.220403239,-0.057000588,-0.26751714,0.612518873,-0.450338388,-1.00269745,0.065421733,1.485779892,0.493848697,0.151279542,0.032533295,0.237821274
1991,Suceava,0.639854469,0.633355431,1.450594724,-0.127793111,1.506213016,0.172229394,1.040204873,-0.768223962,0.135707946,-0.170300273,-0.860660875,-0.954844225,-1.178705347,-0.804226067,0.233158926,-1.268518217,-0.009575565,-0.416251256
1991,Prahova,-0.066076393,0.22439868,-0.123645294,-0.28169833,-0.049557691,-0.056173635,0.099734817,-0.564651505,0.720050312,0.468327171,-0.118230587,-0.060563478,0.319806703,0.177542524,0.21474846,-0.399283977,0.683927088,0.326931522
1991,Arges,0.476585997,0.784631981,0.09434428,0.355309887,0.06165021,0.248927642,0.312430419,0.597089867,0.74001265,0.596211529,0.990649787,1.269511517,0.593568823,-0.179219324,-0.010350447,0.298816953,-0.249068848,0.430369351
1991,Caras-Severin,0.388240381,1.131913701,0.773851519,0.90103086,0.811221749,0.948577258,-0.048951573,0.541974238,-0.429689009,-0.370582084,-0.371042479,0.30707886,-0.33145113,-0.190586518,,,,
1991,Mures,0.913403361,0.64648241,1.432492766,1.67760186,1.403410939,1.521418724,1.223383327,1.675043295,0.545039823,0.371536957,0.656043477,1.132773642,-1.241426984,-0.789078519,-1.349166698,0.325680016,-0.372588519,
1991,Neamt,0.638568937,0.670576987,1.491899193,-0.055733153,1.503157744,0.225254927,1.150866784,-0.731833875,0.141498054,-0.188153092,-0.913024159,-1.067606172,-1.04352072,-0.798712962,-1.142629408,0.009603206,-1.212906488,
1991,Calarasi,0.861953566,0.461835405,1.726131735,0.83856872,1.721812832,0.967046477,1.182461113,0.563947882,-0.1120476,-0.153216921,0.01520419,0.405079399,-0.337078399,-0.071462426,0.227082773,-0.296710592,-0.859428664,
1991,Bihor,-0.641543248,-0.062124844,-0.885539589,-0.15002567,-0.997835806,-0.338083962,-0.458980264,0.007215589,0.791544019,0.859460745,-0.280329002,-0.839941193,1.680400573,1.43799968,-2.083853688,-1.433619791,-1.240424459,-1.332655508
1991,Covasna,-0.083953233,0.274955227,-0.507394182,-0.177325418,-0.621878999,-0.162855757,-0.568883653,-0.256124198,0.347712109,0.478814909,-1.032283915,-1.057083052,-0.31191455,0.777136237,-0.384861606,0.495242257,-0.659601588,-0.843206864
1992,Ilfov,-0.273246095,-0.886914403,-0.33950313,-0.380680166,0.009469146,-0.104040348,-0.49197284,-0.648021073,0.297735456,0.485443682,0.488337061,0.969005963,1.806911916,0.492786633,0.823160441,-1.756510606,0.498046183,
1992,Arad,-0.398404984,-0.105988386,0.018880658,0.045388946,-0.184956292,-0.001406666,0.612202498,0.538934582,0.77883969,0.736136522,-0.496186548,-0.272000568,2.042284568,1.039668108,-0.071460791,0.305855842,0.63309043,-0.392644711
1992,Sibiu,-0.307928813,0.702102115,1.440319599,0.971636034,0.653480214,0.467503494,1.752688604,1.514260801,-3.518138955,-3.491716556,-0.202477914,0.418633587,-0.993592316,-1.338275128,,,,
1992,Alba,0.54146591,0.391088431,0.053033395,-0.12747388,0.001376007,-0.13303253,0.014874221,0.025295766,0.549739131,0.715931806,0.470993293,0.685462294,-1.116901447,0.535279876,0.483062215,1.119924937,0.188315652,0.014820193
1992,Iasi,0.441621778,-0.066976569,-0.198665911,-0.229752057,-0.109465495,-0.285796096,-0.345866986,0.092883992,0.593661821,0.697672849,1.030216674,1.165662269,-0.101618517,0.813353309,-0.336560532,0.316276605,,
1992,Tulcea,-3.659516018,-3.764840592,0.379198929,0.588832576,0.561832651,0.71637652,0.252194176,0.503036981,-0.245953891,-0.089608165,2.144524724,1.180023909,0.588051659,-0.06600889,-1.421347794,-1.319726076,-0.830976861,-1.628587349
1992,Vrancea,-0.71639546,0.133668127,-0.475440316,-0.559072151,-0.554789472,-0.389460734,-0.050276943,-0.777998427,0.840044103,0.746154684,0.828466731,0.793723419,1.647373829,1.259550256,1.046894919,-0.270742159,1.952360721,0.847239466
1992,Calarasi,-0.279800781,0.412408716,0.600205354,0.445286699,0.343142522,0.546824435,0.830183565,0.15287496,0.10651895,0.282406868,0.209662144,-0.276092493,2.419426368,-0.762328147,4.516173705,0.535870107,3.0481692,1.524451345
1992,Mehedinti,0.422409019,-0.11417801,0.329150819,-0.357905259,0.553725635,-0.306027019,0.110237931,-0.06557491,0.333969777,0.581172047,-1.421136421,-1.015099328,-1.093717057,1.016930577,0.133248676,1.155923712,0.318457863,-0.193311671
1992,Valcea,-1.05297014,-0.199171464,-1.123913478,-0.971233405,-0.998704403,-0.858053054,-0.808310034,-0.882137227,0.808952037,0.756403723,-2.193218834,-2.092558534,0.590564082,0.891373162,0.202900744,-0.761127902,-0.122307572,0.54534579
1992,Braila,-0.957751403,-1.076650337,-0.634835039,-2.229545706,-1.126642603,-2.450461492,0.208222193,-1.83757437,-1.308627292,-1.346345976,-1.45350153,-1.639021765,-1.862370181,-1.927431815,-0.557441433,1.105370273,-0.05745349,
1992,Mures,0.444539132,0.480356943,0.836901816,0.662190936,0.677764512,0.56742444,0.917317909,0.896725262,-0.520649186,-0.073845671,0.993932823,0.762824859,-0.165596515,0.532155765,0.731172779,-0.052464451,0.713919423,-0.26240659
1992,Brasov,-2.28480635,-2.115429921,0.533691666,0.513557522,0.680634049,0.650371558,0.414192426,0.375276045,-0.270836204,0.118677047,0.179098889,-0.617996681,0.681740283,0.257507761,-0.159848175,1.387588243,-0.534145819,-0.067160272
1992,Arges,0.459586847,1.034006871,1.026005372,1.833630956,1.124173714,1.729365751,0.972497811,1.680675636,-0.479202024,-0.431024362,0.913155053,1.009480493,1.410858915,-1.350746494,2.871666962,0.897950494,3.128352133,1.381886355
1992,Vaslui,0.608793158,0.173809275,1.280965851,0.890066906,1.164708635,0.606546328,1.063481569,1.327816443,0.314448816,0.34365697,0.111521421,0.674643055,-0.42191989,1.101465733,-2.030962327,-0.831204526,-1.671370652,-1.721654729
1992,Satu Mare,0.701881509,1.065534619,-0.437232474,1.101677104,-0.238258426,1.117457476,-0.643729926,0.863161817,0.161972158,-0.149666583,-0.307244086,-0.17191076,0.599669971,-0.729296132,-0.555369808,0.902664765,,
1992,Covasna,-0.004029695,0.099301528,-0.335279333,-0.757348901,-0.24914912,-0.414288073,-0.061693982,-1.137253094,0.714906521,0.346161666,-1.367714584,-1.565718677,0.934804006,-0.403469175,0.766250868,-0.872336499,-0.558625922,0.435708236
1992,Bistrita-Nasaud,0.748523647,0.067209777,-0.588065637,-0.35248883,0.002843886,-0.314552069,-1.417023856,-0.047904541,-0.244322355,0.699704128,-0.417997806,-1.062494169,0.189499317,1.66617576,-0.188097145,-0.460153264,-0.747340108,-0.173268095
